IndiceGene,ProbeSetID,F_ANOVA_7grupos,P_ANOVA_7grupos,FDR_ANOVA_7grupos
15023,1430717_at,3.97545870394699,0.00531574461521045,0.0166539210544571
25971,1441665_at,3.97544532252366,0.00531584327398427,0.0166539210544571
18232,1433926_at,3.97530347115308,0.00531688923690765,0.0166560409442087
41752,1457457_at,3.97498740929868,0.00531922054900602,0.0166621868301653
33507,1449207_a_at,3.97490825012402,0.00531980460600812,0.0166628590551824
5173,1420867_at,3.97473631186265,0.00532107344448041,0.0166656759319105
40484,1456189_x_at,3.97459690822557,0.00532210242438891,0.0166677412292455
7867,1423561_at,3.97423498187359,0.00532477489161043,0.0166749529500432
35365,1451070_at,3.97357295244976,0.00532966698838533,0.016689114131998
44660,1460368_at,3.97330810578489,0.00533162541336063,0.0166940875984433
19056,1434750_at,3.97308392221104,0.00533328374622599,0.0166981208079513
7996,1423690_s_at,3.97219675330075,0.0053398516628923,0.016717523937811
13487,1429181_at,3.97177772082797,0.00534295682528085,0.0167260842491144
44006,1459711_at,3.97084495696447,0.00534987574415635,0.0167456564918427
3710,1419379_x_at,3.97076451037249,0.00535047291190849,0.0167456564918427
37650,1453355_at,3.97075184572833,0.00535056692997138,0.0167456564918427
25921,1441615_at,3.97073471245833,0.00535069412438627,0.0167456564918427
5676,1421370_a_at,3.97063070235946,0.00535146634575956,0.0167469111615391
13302,1428996_at,3.97056777736185,0.00535193358854436,0.0167472113215111
44458,1460165_at,3.97016632031916,0.0053549155784226,0.0167553455103727
33655,1449355_a_at,3.97010787637514,0.00535534984144692,0.0167553455103727
17869,1433563_s_at,3.97006781091858,0.00535564756607465,0.0167553455103727
35909,1451614_a_at,3.96969128280787,0.00535844638346916,0.016762938915228
20169,1435863_at,3.96923828005798,0.005361815700058,0.0167723158474349
23745,1439439_x_at,3.9691320763056,0.0053626059394728,0.016773624417516
39904,1455609_at,3.96847513272709,0.0053674968490508,0.0167877583487545
40334,1456039_at,3.9676417111136,0.00537370840442197,0.0168060205774797
45069,AFFX-PyruCarbMur/L09192_5_at,3.9675112542444,0.00537468139607089,0.0168078980477183
34991,1450696_at,3.96735077330401,0.00537587857251853,0.0168104762878152
43984,1459689_at,3.96681220531686,0.0053798983092358,0.0168218797590712
3769,1419438_at,3.96608734340422,0.00538531350622728,0.0168376446755187
